id,title,original_title,features,overview,poster_path
1419406,The Shadow's Edge,捕风追影,acción crimen drama suspense excited jackiechan 张子枫 梁家輝 此沙 杨子,"Unos astutos y traicioneros ladrones desafian a la Policía Judicial de Macao. La Policía, que se encontraba en una dura batalla, invita de nuevo al experto en rastreo Huang De Zhong, retirado desde hace muchos años, a unir fuerzas con la joven élite del Departamento de Investigación Criminal de la Policía Judicial. Bajo la colisión de las técnicas tradicionales de rastreo y la alta tecnología, la policía y los criminales luchan con ingenio y valentía, y se lanzan a un duelo entre el bien y el mal parecido al juego del gato y el ratón.",/o25Tk1FYQi2BLk0OEAvx2h69QvB.jpg
1511417,Baahubali: The Epic,Baahubali: The Epic,acción drama affectation flashback revenge alternatehistory historicalfiction fratricide ancientindia regicide multigenerational absurd hindushiva multipletimelines remastered epicfilm director'scut prabhas ranadaggubati anushkashetty ramyakrishnan s.s.rajamouli,"Cuando una pareja tribal encuentra a un niño misterioso cerca de una estruendosa cascada, lo crían como si fuera suyo. A medida que crece, Sivudu se siente atraído por el mundo más allá de los acantilados, donde descubre el antiguo reino de Mahishmati, gobernado por un tirano cruel, asolado por la rebelión y ligado a su propio pasado. Lo que comienza como una búsqueda por amor, pronto desentraña un legado de traición, sacrificio y un príncipe olvidado.",/z9YIo2qscyaXYgRqIdRJtND3bw8.jpg
628847,Refugio mortal,Trap House,acción crimen suspense davebautista jackchampion sophialillis whitneypeak michaeldowse,"Un agente de la DEA y su compañero persiguen un peculiar grupo de ladrones: sus propios hijos adolescentes rebeldes, que han empezado a robar a un peligroso cártel, utilizando para ello las tácticas de sus padres y la información de alto secreto.",/tgSoSwFOa0THezjVHC9gaXqSHf2.jpg
425274,"Los ilusionistas 3: Ahora me ves, ahora no",Now You See Me: Now You Don't,suspense crimen misterio diamond antwerp sequel heist diamondheist illusionist teamup jesseeisenberg dominicsessa arianagreenblatt justicesmith rubenfleischer,"La historia remota un robo de diamantes que involucra a dos generaciones de ilusionistas, lo que forza a los Jinetes a salir de su retiro y unirse a los nuevos protagonistas para detener a un poderoso grupo de criminales.",/fw2sJqvY6wzRLhhAMsPlINVuPOQ.jpg
1131759,Lector omnisciente: La profecía,전지적 독자 시점,acción aventura fantasía basedonnovelorbook survival apocalypse superpower basedonwebnovel action disgusted disrespectful blockbuster post-apocalyptic 안효섭 leemin-ho 채수빈 신승호 김병우,"La novela favorita de Dokja se hace ominosamente realidad; utilizando sus intrincados conocimientos sobre la inminente historia apocalíptica, el oficinista cambia el destino.",/lWQRM7IOCyJT9E5kOnoUvZNELHQ.jpg
1233413,Pecadores,Sinners,"terror acción suspense chicago,illinois capitalism kukluxklan musician immortality vampire surrealism sin alcoholism vampirehunter(slayer) church twins blunt estrangedwife dualrole cousinrelationship deathofdaughter bluesmusic aftercreditsstinger klansmen 1990s 1930s salvation assimilation chineseimmigrant brotherbrotherrelationship southerngothic afro-descendants cousins supernaturalhorror playful trainstation mississippi frightened michaelb.jordan haileesteinfeld milescaton jacko'connell ryancoogler","Intentando dejar atrás sus vidas problemáticas, los hermanos gemelos regresan a su pueblo natal para empezar de nuevo, solo para descubrir que un mal aún mayor los espera para darles la bienvenida.",/jIVa5m9s7bKYdI0KH8wFw1qLxHl.jpg
7451,xXx - Triple X,xXx,"acción aventura suspense crimen drama mission biologicalweapon sportscar coldwar prague,czechrepublic nsaagent adrenalinejunkie thrillseeker vindiesel asiaargento martoncsokas samuell.jackson robcohen","Xander Cage es tu adicto a la adrenalina estándar sin miedo y con una actitud pésima. Cuando el gobierno de los Estados Unidos lo ""recluta"" para ir a una misión, no está precisamente emocionado. Su misión: recopilar información sobre una organización que puede estar planeando la destrucción del mundo, dirigida por el nihilista Yorgi.",/2S3CTv5CyDb99mquNuptBvCVAHd.jpg
982843,El gran diluvio,대홍수,cienciaficción aventura drama climatechange naturaldisaster globalwarming transhumanism flood meditative vexed thoughtful philosophical reflective complex loving introspective wistful provocative dramatic admiring adoring compassionate defiant dignified empathetic hopeful powerful sincere sympathetic urgent 김다미 박해수 권은성 전혜진 김병우,"En el que podría ser el último día en la Tierra, una lucha de vida o muerte en un apartamento inundado pronto se convierte en la única esperanza de supervivencia de la humanidad.",/qIzSyT2AmDxkcQ0zOAeTbtZR9EQ.jpg
1491902,Nunca te rindas,ปัง,acción suspense hitman jackkesy peterweller tristinmays ケイン・コスギ wychkaosayananda,"Tras escapar por los pelos de un atentado mortal contra su vida, un despiadado asesino a sueldo traiciona a su banda en un esfuerzo por encontrar el perdón, pero acaba convirtiéndose él mismo en un objetivo.",/1kQTLtNy8A5lAWEU2LfjWxg6UQJ.jpg
24428,Avengers: Los Vengadores,The Avengers,cienciaficción acción aventura newyorkcity superhero shield basedoncomic alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse(mcu) robertdowneyjr. chrisevans markruffalo chrishemsworth josswhedon,"Cuando un enemigo inesperado surge como una gran amenaza para la seguridad mundial, Nick Fury, director de la Agencia SHIELD, decide reclutar a un equipo para salvar al mundo de un desastre casi seguro. Adaptación del cómic de Marvel ""Los Vengadores"", el legendario grupo de superhéroes formado por Ironman, Hulk, Thor y el Capitán América entre otros.",/ay29o6P7HWTSMoKVVI3xgRHiRkC.jpg
1317288,Marty Supremo,Marty Supreme,"drama newyorkcity london,england paris,france cairo capitalism gasstation taxidriver pregnancy hustler athens,greece pingpong carcrash brussels,belgium spanking shootout jewishamerican policechase tokyo,japan stabbing pregnantwoman postworldwarii unclenephewrelationship shoesalesman scheming 1950s suite abusedwife americanbusinessman tabletennis ensemblecast sarajevo frustrated sport timothéechalamet gwynethpaltrow odessaa'zion kevino'leary joshsafdie","Muestra el viaje de Marty Reisman, un buscavidas convertido en campeón de ping-pong que se convirtió en el más veterano en ganar una competición nacional, con 67 años.",/jctiZ1I2p4b6mceR85QxYhgs4Ft.jpg
1228246,Five Nights at Freddy's 2,Five Nights at Freddy's 2,terror suspense killerrobot pizzeria sequel serialkiller securityguard basedonvideogame themepark deadchildren aftercreditsstinger duringcreditsstinger hauntedattractions nightguard animatronic possesseddoll supernaturalhorror ghostchild slasherhorror androidhorror joshhutcherson piperrubio elizabethlail matthewlillard emmatammi,"Un año después de los sucesos de Freddy Fazbear's Pizza, y con la llegada de un nuevo Faszfest al pueblo. Abby se escapa para reencontrarse con Freddy, Bonnie, Chica y Foxy con oscuros secretos revelándose.",/bYdANgEjbb3L1k1KpprAeZ6a5HN.jpg
1054867,Una batalla tras otra,One Battle After Another,suspense crimen acción rebellion basedonnovelorbook resistance usa–mexicoborder riot interracialrelationship ontherun xenophobia aftercreditsstinger missingdaughter whitesupremacy anti-fascism fatherdaughterrelationship revolutionaries africanamerican anti-racism immigrationdetentioncenter leonardodicaprio seanpenn chaseinfiniti beniciodeltoro paulthomasanderson,"Cuando su malvado némesis resurge después de 16 años, una banda de ex revolucionarios se reúne para rescatar a la hija de uno de los suyos.",/iZ1499F6hYxDxiqioy8oSUaxipG.jpg
1439112,Muzzle: City of Wolves,Muzzle: City of Wolves,acción suspense misterio policedog lapd aaroneckhart tanyavangraan karlthaning nicolefortuin johnstalbergjr.,"Jake Rosser está atormentado por el trastorno de estrés postraumático de sus días como oficial K-9 y se esfuerza por llevar una vida pacífica con su familia y su compañero K-9 retirado, Socks. Pero la tranquilidad se disuelve rápidamente cuando una despiadada banda los persigue en un brutal ataque. Decidido a proteger a sus seres queridos, Jake y su nuevo compañero K-9 ""Argos"" se adentran en los violentos entresijos de la delincuencia, donde Jake se enfrenta a funcionarios corruptos, descubre una peligrosa red de tráfico de drogas y lucha contra sus propios demonios internos.",/yBg2t8vuqrE8nqrxS3VzW3Qvzh3.jpg
1255674,Vieja loca,Vieja loca,terror suspense comedia carmenmaura danielhendler agustinaliendo emmacetrángolo martínmauregui,"Pedro recibe un mensaje desesperado de una exnovia pidiéndole que cuide de Alicia, su madre senil. Lo que parece una misión sencilla pronto se convierte en su peor pesadilla. Pedro necesita escapar, pero Alicia no le deja…",/a2EdW8sk22fNCvrpOiaHbR2hOuZ.jpg
1137179,Yadang: The Snitch,야당,crimen acción comedia drama suspense drugs 강하늘 유해진 박해준 류경수 황병국,"En los círculos del narcotráfico, los informantes ""Ya-Dang"" venden información de los delincuentes. Los delincuentes la utilizan para reducir sus condenas, mientras que las fuerzas del orden la emplean para realizar detenciones. Ya-Dang, policía y fiscales forman un triángulo clave.",/k4yTwFqvQDApqaoFdgubsbYcuno.jpg
1208348,Familia en renta,Rental Family,"comedia drama self-discovery tokyo,japan expatriate surrogatefather actor rentalfamily empathetic humanconnection intergenerationalfriendship blurredreality brendanfraser 平岳大 mariyamamoto shannonmahinagorman hikari","Un actor estadounidense consigue un trabajo inusual en una agencia japonesa de ""alquiler familiares"", donde interpreta diversos papeles de sustituto para desconocidos en Tokio.",/1m22GgaSwlVg3ePh6Y25BquLXq4.jpg
803796,Las guerreras k-pop,KPop Demon Hunters,fantasía música comedia animación doublelife loyalty supernatural musical femalefriendship femaleprotagonist demon self-doubt girlpower duringcreditsstinger demonhunter girlgroup boyband fandom k-pop actioncomedy foundfamily southkorea 3danimation halfdemon savetheworld self-redemption k-popgroup trio ardencho mayhong ji-youngyoo 안효섭 chrisappelhans,"Cuando no están llenando estadios, las superestrellas del k‑pop Rumi, Mira y Zoey usan sus superpoderes secretos para proteger a sus fans de amenazas sobrenaturales.",/6EQMqEmdG5HoGe2zT1WwWUMvVhv.jpg
